,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,Location
94,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:48:56,Zahid Adenan,12064,"Kuala Lumpur City, Kuala Lumpu"
95,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:40:42,"Nadine, A. 🌺",12944,"KCH, by way of EDI & KUL."
96,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:38:41,🖤,23328,Malaysia
97,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:37:39,Rejaie Arbee #GirlsNotBrides 🇲🇾💞,1710,
98,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:33:06,ᴊᴏᴇ ʟᴇᴇ 🇲🇾,79,ᴍᴀʟᴀʏꜱɪᴀ 🇲🇾
99,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:32:38,Jahabar Sadiq,11,Big Blue Marble
100,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:31:37,zhukl 🏳️‍🌈,0,MY
101,"Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze sea… https://t.co/4rT5T0onh3",89,67,2019-09-23 15:31:02,Juana Jaafar ✊🏾,8025,Malaysia
102,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 15:28:31,tin,2429,Malaysia
103,"RT @izzatfauzi: Malaysian Companies related to forest fires
1. Sime Darby 
2. IOI Corporation
3. Kepong Berhad
4. TDM Berhad

https://t.co/…",0,2,2019-09-23 15:10:55,whUt,1749,
104,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 14:07:57,mia💕,2545,
105,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 13:38:03,♡汉那/Hannah♡,28899,
106,Malaysia have new season “haze season” every year dah mesti ade jerebu ni,2,0,2019-09-23 13:34:47,error💫,1699,
107,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 12:45:42,khai,44,"Kota Kinabalu, Sabah"
108,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 12:36:33,grace 💍,10814,Malaysia
109,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 12:31:28,b’s,1533,Sabah
110,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 11:54:07,a`z,2432,"Brooklyn, NY"
111,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 11:50:57,🌸iffa🌸,1403,
112,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 11:01:26,ayn,30644,North Borneo
113,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-23 10:51:09,Renegade💚Signal™,31819,UK 🇬🇧 Rave Cave HQ 🌍
114,"RT @jaagrafik: Nowadays fresh air is more expensive than hospital bills... Please protect yourself from air pollution.

#jaagrafik #jaakomi…",0,2,2019-09-23 10:41:56,⍟ محمد شفيق⎊,4119,"Beserah, Pahang"
115,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 10:40:23,Daus ╫A̶╫A̶,44817,Fiera’s
116,RT @NizamiSousuke: It's getting worse here. We can't breath well &amp; we saw something unimaginable behind this haze 😷 #jerebu https://t.co/8L…,0,1859,2019-09-23 09:52:08,a - fiq 🌻,895,💞
117,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 09:45:43,Nobody,353291,"Selangor, Malaysia"
118,"Nowadays fresh air is more expensive than hospital bills... Please protect yourself from air pollution.

#jaagrafik… https://t.co/eqbRogaiJg",10,2,2019-09-23 09:41:37,jaazudin,10267,"Selangor, Malaysia"
119,"RT @mackillah: wearing Altern 8 N95 neon respirator mask during haze weather @WeAreAltern8
Full On.. Mask Hysteria‼️⁉️‼️ ✊😷 #rave #jerebu #…",0,6,2019-09-23 09:18:47,Altern 8,1499,
120,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 09:11:47,🐼,5070,Malaysia
121,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 09:05:29,AliaAziz,2580,
122,"Continuous breeze here since morning pushing the haze away,the visibility has improved,i see blue sky peeking out f… https://t.co/eTEeZecX9i",2,0,2019-09-23 09:00:17,BlueSkyComeBack🏝️🏝️,18904,1729
123,"RT @ibrahimsaninet: IOI Corp Bhd, according to The Edge, is the best company exhibiting Corporate Responsibility in Malaysia. 

IOI Corp wo…",0,7,2019-09-23 08:37:39,Sherrie R.D,18726,
124,"Let's help our schoolchildren combat the haze! 
#jerebu #haze #cresm #creverywhere #myizad #izadftw #myworkinTM… https://t.co/3JsY9GLeQw",0,0,2019-09-23 07:55:03,Izad,706,"Bangi, Selangor"
125,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 07:54:11,Cuti cuti kaki travel 🇲🇾,146074,"JENGKA 11, PAHANG"
126,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 07:53:37,Amir Yogi | امير يوغي,69203,Tanah Melayu
127,"Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist… https://t.co/7gFEDzfDF6",19,18,2019-09-23 07:51:44,Melayu Pemalas,813,"Kota Baharu, Kelantan"
128,"RT @ibrahimsaninet: IOI Corp Bhd, according to The Edge, is the best company exhibiting Corporate Responsibility in Malaysia. 

IOI Corp wo…",0,7,2019-09-23 07:48:57,N.S.,130773,The World
129,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 07:47:17,🕊,4907,🖤
130,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 06:46:32,syu~,17643,
131,"No this is not Mars...

#haze #jerebu #Indonesia #sky #red #science

https://t.co/CDLD0ordIr",0,0,2019-09-23 06:30:00,The Rakyat Post,269,Malaysia
132,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 06:21:11,minyakyuyin,1854,
133,RT @NizamiSousuke: It's getting worse here. We can't breath well &amp; we saw something unimaginable behind this haze 😷 #jerebu https://t.co/8L…,0,1859,2019-09-23 06:18:10,Hanis,21108,Perak-Penang ✈
